pair_id	fiscal_year	volume	md_path	family	stmt_no	l_idx	l_offset	l_rows	l_inherited	r_idx	r_offset	r_rows	r_inherited	row_delta
0		cdn_34_5_1899	../sessional_papers/markdown/oocihm.9_08052_34_5.md	imports_37	37	248	1253944	46	0	249	1258678	44	0	-2
1		cdn_34_5_1899	../sessional_papers/markdown/oocihm.9_08052_34_5.md	imports_37	37	250	1264996	46	0	251	1269449	39	0	-7
2		cdn_34_5_1899	../sessional_papers/markdown/oocihm.9_08052_34_5.md	imports_37	37	252	1275511	42	0	253	1279582	39	0	-3
3		cdn_34_5_1899	../sessional_papers/markdown/oocihm.9_08052_34_5.md	imports_37	37	254	1285168	46	0	255	1289527	45	0	-1
4		cdn_34_5_1899	../sessional_papers/markdown/oocihm.9_08052_34_5.md	imports_37	37	256	1295693	50	0	257	1300060	43	0	-7
5		cdn_34_5_1899	../sessional_papers/markdown/oocihm.9_08052_34_5.md	imports_37	37	258	1306341	45	0	259	1310819	45	0	0
6		cdn_34_5_1899	../sessional_papers/markdown/oocihm.9_08052_34_5.md	imports_37	37	260	1317151	50	0	261	1321858	9	0	-41
7		cdn_34_5_1899	../sessional_papers/markdown/oocihm.9_08052_34_5.md	imports_37	37	262	1325394	42	0	263	1330048	41	0	-1
8		cdn_34_5_1899	../sessional_papers/markdown/oocihm.9_08052_34_5.md	imports_37	37	264	1336017	38	0	265	1339907	32	0	-6
9		cdn_34_5_1899	../sessional_papers/markdown/oocihm.9_08052_34_5.md	imports_37	37	266	1344542	48	0	267	1349753	46	0	-2
10		cdn_34_5_1899	../sessional_papers/markdown/oocihm.9_08052_34_5.md	imports_37	37	268	1356172	48	0	269	1360698	44	0	-4
11		cdn_34_5_1899	../sessional_papers/markdown/oocihm.9_08052_34_5.md	imports_37	37	270	1366946	48	0	271	1371324	44	0	-4
12		cdn_34_5_1899	../sessional_papers/markdown/oocihm.9_08052_34_5.md	imports_37	37	272	1377667	47	0	273	1382301	43	0	-4
13		cdn_34_5_1899	../sessional_papers/markdown/oocihm.9_08052_34_5.md	imports_37	37	274	1388939	53	0	275	1393828	43	0	-10
14		cdn_34_5_1899	../sessional_papers/markdown/oocihm.9_08052_34_5.md	imports_37	37	276	1400253	46	0	277	1405067	45	0	-1
15		cdn_34_5_1899	../sessional_papers/markdown/oocihm.9_08052_34_5.md	imports_37	37	278	1411728	45	0	279	1416223	45	0	0
16		cdn_34_5_1899	../sessional_papers/markdown/oocihm.9_08052_34_5.md	imports_37	37	280	1422996	48	0	281	1427614	42	0	-6
17		cdn_34_5_1899	../sessional_papers/markdown/oocihm.9_08052_34_5.md	imports_37	37	282	1433819	51	0	283	1438748	46	0	-5
18		cdn_34_5_1899	../sessional_papers/markdown/oocihm.9_08052_34_5.md	imports_37	37	284	1445615	43	0	285	1450113	48	0	5
19		cdn_34_5_1899	../sessional_papers/markdown/oocihm.9_08052_34_5.md	imports_37	37	286	1456584	50	0	287	1461553	45	0	-5
20		cdn_34_5_1899	../sessional_papers/markdown/oocihm.9_08052_34_5.md	imports_37	37	288	1467987	15	0	289	1471066	40	0	25
21		cdn_34_5_1899	../sessional_papers/markdown/oocihm.9_08052_34_5.md	imports_37	37	290	1476744	50	0	291	1481489	43	0	-7
22		cdn_34_5_1899	../sessional_papers/markdown/oocihm.9_08052_34_5.md	imports_37	37	292	1487994	52	0	293	1493058	50	0	-2
23		cdn_34_5_1899	../sessional_papers/markdown/oocihm.9_08052_34_5.md	imports_37	87	294	1500587	46	0	295	1504763	37	0	-9
24		cdn_34_5_1899	../sessional_papers/markdown/oocihm.9_08052_34_5.md	imports_37	37	296	1509967	50	0	297	1514516	44	0	-6
25		cdn_34_5_1899	../sessional_papers/markdown/oocihm.9_08052_34_5.md	imports_37	37	298	1520083	43	0	299	1524343	35	0	-8
26		cdn_34_5_1899	../sessional_papers/markdown/oocihm.9_08052_34_5.md	imports_37	37	302	1539700	49	0	303	1544390	45	0	-4
27		cdn_34_5_1899	../sessional_papers/markdown/oocihm.9_08052_34_5.md	imports_37	37	304	1550919	40	0	305	1554895	12	0	-28
28		cdn_34_5_1899	../sessional_papers/markdown/oocihm.9_08052_34_5.md	imports_37	37	306	1558495	42	0	307	1562438	41	0	-1
29		cdn_34_5_1899	../sessional_papers/markdown/oocihm.9_08052_34_5.md	imports_37	37	308	1568277	15	0	309	1571448	43	0	28
30		cdn_34_5_1899	../sessional_papers/markdown/oocihm.9_08052_34_5.md	imports_37	37	310	1577850	44	0	311	1581921	39	0	-5
31		cdn_34_5_1899	../sessional_papers/markdown/oocihm.9_08052_34_5.md	imports_37	37	312	1587596	46	0	313	1592338	42	0	-4
32		cdn_34_5_1899	../sessional_papers/markdown/oocihm.9_08052_34_5.md	imports_37	37	314	1598881	42	0	315	1603106	40	0	-2
33		cdn_34_5_1899	../sessional_papers/markdown/oocihm.9_08052_34_5.md	imports_37	37	316	1609227	46	0	317	1613914	43	0	-3
34		cdn_34_5_1899	../sessional_papers/markdown/oocihm.9_08052_34_5.md	imports_37	37	318	1620514	41	0	319	1624686	39	0	-2
35		cdn_34_5_1899	../sessional_papers/markdown/oocihm.9_08052_34_5.md	imports_37	37	320	1630302	41	0	321	1634457	40	0	-1
36		cdn_34_5_1899	../sessional_papers/markdown/oocihm.9_08052_34_5.md	imports_37	37	322	1640831	51	0	323	1645138	44	0	-7
37		cdn_34_5_1899	../sessional_papers/markdown/oocihm.9_08052_34_5.md	imports_37	37	324	1651438	51	0	325	1655772	49	0	-2
38		cdn_34_5_1899	../sessional_papers/markdown/oocihm.9_08052_34_5.md	imports_37	37	326	1663214	52	0	327	1668287	46	0	-6
39		cdn_34_5_1899	../sessional_papers/markdown/oocihm.9_08052_34_5.md	imports_37	37	328	1675504	47	0	329	1680391	44	0	-3
40		cdn_34_5_1899	../sessional_papers/markdown/oocihm.9_08052_34_5.md	imports_37	37	330	1687282	40	0	331	1691330	39	0	-1
41		cdn_34_5_1899	../sessional_papers/markdown/oocihm.9_08052_34_5.md	imports_37	37	332	1697309	39	0	333	1701341	39	0	0
42		cdn_34_5_1899	../sessional_papers/markdown/oocihm.9_08052_34_5.md	imports_37	37	334	1707679	47	0	335	1712155	45	0	-2
43		cdn_34_5_1899	../sessional_papers/markdown/oocihm.9_08052_34_5.md	imports_37	37	336	1718528	49	0	337	1723170	46	0	-3
44		cdn_34_5_1899	../sessional_papers/markdown/oocihm.9_08052_34_5.md	imports_37	37	338	1729679	46	0	339	1734039	44	0	-2
45		cdn_34_5_1899	../sessional_papers/markdown/oocihm.9_08052_34_5.md	imports_37	37	340	1741174	51	0	341	1745573	42	0	-9
46		cdn_34_5_1899	../sessional_papers/markdown/oocihm.9_08052_34_5.md	imports_37	37	342	1752366	46	0	343	1756865	41	0	-5
47		cdn_34_5_1899	../sessional_papers/markdown/oocihm.9_08052_34_5.md	imports_37	37	344	1762684	50	0	345	1767900	47	0	-3
48		cdn_34_5_1899	../sessional_papers/markdown/oocihm.9_08052_34_5.md	imports_37	37	346	1774769	48	0	347	1779251	47	0	-1
49		cdn_34_5_1899	../sessional_papers/markdown/oocihm.9_08052_34_5.md	imports_37	37	348	1786405	44	0	349	1790651	41	0	-3
50		cdn_34_5_1899	../sessional_papers/markdown/oocihm.9_08052_34_5.md	imports_37	37	350	1796878	29	0	351	1800329	26	0	-3
51		cdn_34_5_1899	../sessional_papers/markdown/oocihm.9_08052_34_5.md	imports_37	37	352	1804242	33	0	353	1807853	32	0	-1
52		cdn_34_5_1899	../sessional_papers/markdown/oocihm.9_08052_34_5.md	imports_37	37	354	1812630	41	0	355	1816988	41	0	0
53		cdn_34_5_1899	../sessional_papers/markdown/oocihm.9_08052_34_5.md	imports_37	37	356	1822413	49	0	357	1827246	47	0	-2
54		cdn_34_5_1899	../sessional_papers/markdown/oocihm.9_08052_34_5.md	imports_37	37	358	1834116	51	0	359	1841818	45	0	-6
55		cdn_34_5_1899	../sessional_papers/markdown/oocihm.9_08052_34_5.md	imports_37	37	360	1848268	51	0	361	1853239	46	0	-5
56		cdn_34_5_1899	../sessional_papers/markdown/oocihm.9_08052_34_5.md	imports_37	37	362	1860213	46	0	363	1864177	39	0	-7
57		cdn_34_5_1899	../sessional_papers/markdown/oocihm.9_08052_34_5.md	imports_37	37	364	1870082	50	0	365	1874770	45	0	-5
58		cdn_34_5_1899	../sessional_papers/markdown/oocihm.9_08052_34_5.md	imports_37	37	366	1880578	43	0	367	1885083	41	0	-2
59		cdn_34_5_1899	../sessional_papers/markdown/oocihm.9_08052_34_5.md	imports_37	37	368	1891397	45	0	369	1895873	42	0	-3
60		cdn_34_5_1899	../sessional_papers/markdown/oocihm.9_08052_34_5.md	imports_37	37	370	1902382	44	0	371	1906985	42	0	-2
61		cdn_34_5_1899	../sessional_papers/markdown/oocihm.9_08052_34_5.md	imports_37	37	372	1913014	52	0	373	1917630	49	0	-3
62		cdn_34_5_1899	../sessional_papers/markdown/oocihm.9_08052_34_5.md	imports_37	37	374	1924684	50	0	375	1929600	45	0	-5
63		cdn_34_5_1899	../sessional_papers/markdown/oocihm.9_08052_34_5.md	imports_37	87	376	1936053	44	0	377	1940230	42	0	-2
64		cdn_34_5_1899	../sessional_papers/markdown/oocihm.9_08052_34_5.md	imports_37	37	378	1946680	53	0	379	1951461	10	0	-43
65		cdn_34_5_1899	../sessional_papers/markdown/oocihm.9_08052_34_5.md	imports_37	37	380	1955135	52	0	381	1959782	50	0	-2
66		cdn_34_5_1899	../sessional_papers/markdown/oocihm.9_08052_34_5.md	imports_37	37	382	1967380	47	0	383	1972140	45	0	-2
67		cdn_34_5_1899	../sessional_papers/markdown/oocihm.9_08052_34_5.md	imports_37	37	384	1978806	47	0	385	1983010	45	0	-2
68		cdn_34_5_1899	../sessional_papers/markdown/oocihm.9_08052_34_5.md	imports_37	37	386	1989628	51	0	387	1994535	43	0	-8
69		cdn_34_5_1899	../sessional_papers/markdown/oocihm.9_08052_34_5.md	imports_37	87	388	2000052	49	0	389	2004897	46	0	-3
